ITEMNMBR,VENDORID,VendorDesc,OfferPrice,VendorUOM,ITEMDESC,SystemCost,AvgSellingPrice,SourcingDiff,SourcingPct,FlipMargin,FlipMarginPct
PHURYPHOS02                    ,THEANDERSONS   ,pHury / Ulti-Mate                                                                                    ,6.55483,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,8.188,16.2,1.6331700000000007,19.945896433805576,9.64517,59.538086419753085
PHURYPHOS02                    ,PRODICAL       ,                                                                                                     ,6.55483,         ,pHury Phos *>Do Not Sell In Buckets<<**                                                              ,8.188,16.2,1.6331700000000007,19.945896433805576,9.64517,59.538086419753085
NPKPHOS75                      ,INDUSTR1       ,                                                                                                     ,0.26284,         ,Phosphoric Acid 75%                                                                                  ,0.43125,0.63471,0.16841,39.05159420289855,0.37187,58.588961888106375
ZZ5GALCAMO                     ,ROPAK          ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706,3.934056,58.16119795578274
ZZ5GALCAMO                     ,SMITH CONTAINER,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706,3.934056,58.16119795578274
ZZ5GALCAMO                     ,RIBELIN        ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706,3.934056,58.16119795578274
ZZ5GALCAMO                     ,               ,                                                                                                     ,2.83,         ,5 Gallon Camo Pail                                                                                   ,5.41,6.764056,2.58,47.689463955637706,3.934056,58.16119795578274
NPKPHOS75                      ,BRENNTAG       ,                                                                                                     ,0.27,         ,Phosphoric Acid 75%                                                                                  ,0.43125,0.63471,0.16125,37.391304347826086,0.36471,57.46088764947771
ZZ250GAL                       ,JIMMYGRI       ,250 Gallon Mini Tank                                                                                 ,65.0,EACH5    ,250 Gallon IBC                                                                                       ,125.0,143.333333,60.0,48.0,78.33333300000001,54.65116268523526
ZZ250GAL                       ,JOHNBELL       ,250 Gallon Mini Tank                                                                                 ,65.0,         ,250 Gallon IBC                                                                                       ,125.0,143.333333,60.0,48.0,78.33333300000001,54.65116268523526
ZZ30GAL                        ,RUSSELLS       ,                                                                                                     ,10.0,         ,30 Gallon Drum                                                                                       ,25.0,22.0,15.0,60.0,12.0,54.54545454545454
