Strategy,Sharpe,CAGR,Volatility,Max_Drawdown,Win_Rate,Sortino,Calmar,Avg_Turnover
1. Baseline EMS (Lasso+Ridge+EN),0.04170626125210468,-0.004407467671954435,0.1446384718751848,-0.3870395438953978,0.47881010594947027,0.06042310426072628,-0.011387641757725943,0.16816255795935575
2. + Trend Following Filter,0.2990214224064797,0.03672781115410184,0.1675738173786769,-0.45921451257568624,0.4900579950289975,0.43106549837242925,0.07997963946761914,0.1768151426302999
3. + Risk Parity Weighting,0.049621647648429024,-0.0026647166119484478,0.13804777804969232,-0.36920164444903497,0.47840260798696005,0.071943234211432,-0.0072175101384638835,0.16821930253608014
4. + Value & Momentum Combo,0.04976710339527111,-0.0036001920081183414,0.14827552352687695,-0.3907750052468019,0.4800325998370008,0.07132166046986066,-0.009212953642837435,0.16911203163955474
5. + Trend + Risk Parity,0.2992670070530599,0.03587812049056116,0.16119542880393273,-0.4439593932612442,0.4884009942004971,0.43041142358678897,0.08081396865377051,0.1758455001502444
6. Stat Arb Overlay (standalone),-0.8805098899829515,-0.04821542777999055,0.054434662029713136,-0.4082203622455718,0.4798206278026906,-1.2456200520837053,-0.11811127576969263,0.20827055987642004
7. VRP Overlay (standalone),0.15828383870748972,0.011314257297643238,0.20835336278920244,-0.7337170834737899,0.5073349633251834,0.23737776858055246,0.015420463217342285,0.0002851323828920655
8. FULL All-Weather Ensemble,0.5650947438419609,0.07959669262131075,0.15749454751057546,-0.4279089859907543,0.49837000814995924,0.8158624683854847,0.18601313650148626,0.11616696112204404
