ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
MISC SUPPLIES FOR REPAIR       ,each     ,"Clamps, hoses, fluids                                                                                ",58.9,731.44,507.26000000000005,3,1,1141.8336162988116
MISC                           ,each     ,"3"" Van-Stone Flange Sch 80                                                                           ",0.75,9.25,4.5649999999999995,4,1,1133.3333333333335
MAINT. SUPPLIES                ,Each     ,                                                                                                     ,5.75,69.13,39.431666666666665,6,3,1102.2608695652173
CROSSTIE REPAIR                ,each     ,Replace Crossties on the CSX Line                                                                    ,250.0,3000.0,1625.0,4,1,1100.0
RUSSTFREIGHT                   ,Each     ,Russtech freight charges                                                                             ,715.0,8328.0,4521.5,2,1,1064.7552447552448
FREIGHT TO CDI                 ,Each     ,                                                                                                     ,80.0,900.0,370.0133333333333,6,3,1025.0
ALL AMER FRT                   ,Each     ,All American Containers Freight                                                                      ,35.0,386.74,100.19333333333333,9,1,1004.9714285714285
STAPLES                        ,Each     ,SWC7437                                                                                              ,6.33,69.49,37.91,2,1,997.7883096366508
FREIGHT                        ,EACH5    ,Freight Charge:                                                                                      ,15.87,168.73,45.79454545454546,33,4,963.2010081915563
DRILL BITS                     ,Each     ,                                                                                                     ,2.5,26.26,14.686666666666667,3,3,950.4000000000001
MISC                           ,Each     ,                                                                                                     ,20.0,198.68,79.56,3,2,893.4000000000001
REPAIR                         ,Each     ,"repair, paint trailer                                                                                ",295.0,2862.0,1578.5,2,2,870.1694915254236
ZZTANKSRESALE                  ,EACH5    ,Tanks for Resale                                                                                     ,129.6,1224.0,758.633,10,2,844.4444444444445
CHEGLUCO                       ,LBS      ,Sodium Glucoheptonate                                                                                ,0.145,1.32,0.20635359154929578,142,1,810.344827586207
ARTWORK & PLATES               ,Each     ,                                                                                                     ,59.0,534.0,346.0,3,1,805.0847457627119
MISC SHOP SUPPLIES CHARGE      ,Each     ,Shop suppliesq                                                                                       ,20.0,178.0,63.1575,8,2,790.0
FORKLIFT REPAIR                ,Each     ,                                                                                                     ,385.41,3296.6,1841.0049999999999,2,1,755.3488492773929
