ITEMNMBR,UOFM,Description,MinCost,MaxCost,AvgCost,TxCount,VendorCount,SpreadPct
JRM FERROMAN (CASE LABEL)      ,Each     ,JRM Ferroman (1000 rl)                                                                               ,0.12683,0.197,0.17361000000000001,3,1,55.32602696522906
UPS CJARGE TO CDI              ,Each     ,                                                                                                     ,46.22,71.13,61.175,4,1,53.89441800086542
"1"" DIAPHRAM PUMP               ",Each     ,MICRO                                                                                                ,510.37,778.94,644.655,2,1,52.62260712816194
"CROSS 3""                       ",Each     ,                                                                                                     ,17.51,26.67,22.090000000000003,2,1,52.31296402055967
CL2CADRY                       ,LBS      ,Calcium Chloride Dry                                                                                 ,0.165,0.25,0.20451666666666668,12,2,51.5151515151515
TIRE REPAIR                    ,Each     ,SERVICE CALL FOR FLAT TIRE                                                                           ,38.0,57.5,47.75,2,1,51.31578947368421
48X48 PALLETS                  ,Each     ,                                                                                                     ,6.0,9.0,8.1875,8,3,50.0
"3"" 90 DEG ELL                  ",Each     ,                                                                                                     ,5.412,8.046,6.728999999999999,2,2,48.66962305986695
SUMP PUMP                      ,Each     ,                                                                                                     ,182.17,269.71,237.37600000000003,5,1,48.05401548004611
NPKNPHURCDI                    ,LBS      ,pHury 15-0-0-16                                                                                      ,0.19921,0.293,0.22720785714285713,28,1,47.080969830831776
ZZ2.5GALCASE                   ,EACH5    ,2.5 Gallon Case Squat - Box Only                                                                     ,1.25,1.837,1.6093234375,32,2,46.959999999999994
ZZ2.5GALTALL                   ,EACH5    ,2.5 Gallon Tall F Solo Jug                                                                           ,1.66,2.42252,1.9123964864864864,37,2,45.934939759036155
PAPER TOWELS                   ,Each     ,                                                                                                     ,23.1,33.5,25.419999999999998,5,2,45.021645021645014
GRPHUMICLIQ                    ,LBS      ,Humic Acid Liquid-Borresol 22%                                                                       ,0.39062,0.56458,0.493764,20,1,44.53433003942449
SO4FEDRY                       ,LBS      ,                                                                                                     ,0.1105,0.158,0.11427695652173912,23,2,42.98642533936652
PACKING TOOL                   ,Each     ,                                                                                                     ,8.5,12.04,10.35,3,1,41.647058823529406
REPAIR HYD HOSES ON            ,Each     ,BOBCAT                                                                                               ,193.36,272.3,232.83,2,1,40.825403392635494
OXYGEN                         ,Each     ,                                                                                                     ,14.6,20.54,17.57,2,1,40.68493150684932
SAFETY SUPPLIES                ,Each     ,                                                                                                     ,121.27,167.97,144.62,2,1,38.5091118990682
MAGNET                         ,Each     ,                                                                                                     ,26.62,36.74,31.68,2,1,38.01652892561984
AIR VALVES                     ,Each     ,                                                                                                     ,39.55,54.39,46.48,3,1,37.52212389380532
ZZLIDSCAMO                     ,EACH5    ,Camo Lids for 50 LB Buckets                                                                          ,1.61,2.2,1.8944444444444446,9,2,36.64596273291926
SO4ZNSTD                       ,LBS      ,Zinc Sulphate 35.5%                                                                                  ,0.51,0.693,0.5647416666666666,6,4,35.88235294117646
CHEGLUCOGR50CDI                ,LBS      ,Sodium Glucoheptonate / GR-50 NVM purchased by CDI                                                   ,0.31,0.42,0.35945945945945945,37,1,35.48387096774193
TIRE SEALER                    ,Each     ,Left Handed Inner Stud                                                                               ,10.12,13.7,11.91,4,1,35.37549407114625
NPKKNO3BG                      ,LBS      ,Potassium Nitrate Dry Bags                                                                           ,0.1925,0.26,0.20328125,16,4,35.064935064935064
EDTAMG                         ,LBS      ,Magnesium EDTA 2.5%                                                                                  ,0.65171,0.87632,0.7747033333333334,6,2,34.46471590124441
GRPAMINO                       ,LBS      ,Amino Acids                                                                                          ,2.87037,3.85632,3.5989039999999997,15,1,34.34923023861037
ZZLIDS                         ,EACH5    ,Lids for 5 Gallon Pails                                                                              ,0.75,1.00008,0.9050905263157895,19,3,33.344000000000015
MILEAGE                        ,Each     ,                                                                                                     ,1.5,2.0,1.75,4,2,33.33333333333333
COPY PAPER WHITE               ,Each     ,White Copy Paper                                                                                     ,41.49,55.19,48.34,4,1,33.02000482043865
MISCH2O2                       ,LBS      ,Hydrogen Peroxide 32%                                                                                ,0.317,0.4205,0.3889545454545455,11,2,32.649842271293366
SO4MN50                        ,LBS      ,Manganese Sulfate 31.5% 50 lb. bags                                                                  ,0.215,0.285,0.23863636363636365,11,2,32.558139534883715
PLANNER REFILL                 ,Each     ,STAN                                                                                                 ,26.95,35.63,33.0075,4,1,32.20779220779222
SHOP EXPENSES                  ,each     ,Shop Expenses                                                                                        ,45.04,59.5,52.269999999999996,4,1,32.10479573712256
THIOCACDI                      ,LBS      ,Calcium Thiosulfate                                                                                  ,0.25323,0.33261,0.2610133333333334,15,1,31.34699680132686
USLOGISTIC                     ,Each     ,Us Logistic                                                                                          ,1300.0,1700.0,1425.0,10,1,30.76923076923077
SERVICE CALL ON THE ROAD       ,each     ,Road Call Service Call                                                                               ,79.5,103.5,94.0,14,2,30.18867924528302
OXMN                           ,LBS      ,Manganous Oxide                                                                                      ,3.59091,4.63946,4.2049575,4,1,29.20011918984323
SAWZALL BLADES                 ,Each     ,                                                                                                     ,11.47,14.76,13.115,2,1,28.68352223190932
PALLET CHARGE                  ,each     ,Pallet Charge                                                                                        ,14.0,18.0,15.703703703703704,27,1,28.57142857142857
GRPHUMICDRY                    ,LBS      ,Humic Acid Dry                                                                                       ,2.15,2.75,2.45,2,1,27.906976744186053
NOLANTRANSPORT                 ,Each     ,Nolan Transportation Group                                                                           ,1300.0,1650.0,1523.3333333333333,12,1,26.923076923076923
"2"" SCH80 MALE ADPT             ",each     ,"3836S020 Sch80 2"" Male Adpt                                                                          ",11.448,14.5105,12.97925,4,1,26.75139762403913
"3"" SCH80 90 DEG ELBOW SXS      ",each     ,"3806S030 Sch82 3"" 90 deg Elbow SxS                                                                   ",10.9537,13.8822,11.77226,10,1,26.73525840583547
"3"" SCH80 PVC CPLG SXS          ",each     ,"3829S030 Sch80 3"" CPLG SxS                                                                           ",14.6507,18.564,16.314133333333334,6,1,26.710669114786324
LIQUID ADHESIVE HBF V3869EN001 ,Each     ,                                                                                                     ,2.06,2.61,2.40253,4,1,26.69902912621358
REPAIRS PER ATTACHED           ,Each     ,#1 HITCH HIKER                                                                                       ,525.06,663.57,614.4533333333334,3,1,26.37984230373674
QUALITY AL                     ,Each     ,Quality Alabama                                                                                      ,1974.84,2490.9,2232.87,2,1,26.13173725466368
"2"" PART E POLY Q.D. CPLG       ",Each     ,                                                                                                     ,2.125,2.67,2.3975,2,1,25.647058823529406
DELIVERY                       ,Each     ,Delivery charge                                                                                      ,50.0,62.77,55.92333333333334,6,3,25.540000000000006
"2"" CLEAR TAPE                  ",Each     ,                                                                                                     ,0.94,1.18,1.06,2,2,25.53191489361702
"4"" FEMALE ADAPTOR              ",Each     ,                                                                                                     ,18.03,22.63,20.33,2,1,25.513033832501375
HYDROLIC OIL (1 GAL)           ,each     ,R?O Hydraulic Oil (1 gal)                                                                            ,27.48,33.99,31.186,10,2,23.689956331877735
"PNEUMATIC BFV 3"" PVC EPDM      ",Each     ,#37602580088/ Quote# 6669677                                                                         ,658.97,814.98,736.975,2,1,23.674825864606884
VG-212-8-38                    ,each     ,"Adjusting Rod SS 1/2 x 8""                                                                            ",21.29,26.31,24.636666666666667,3,1,23.579145138562705
GLOVE LINERS                   ,Each     ,                                                                                                     ,1.78,2.19,1.9849999999999999,2,1,23.033707865168534
NEUTRA SOIL  (FLAT)            ,each     ,Neutra Soil  (Flat)                                                                                  ,0.1453,0.1785,0.16743333333333332,3,1,22.849277357192
ULTRA GREEN  (FLAT)            ,each     ,Ultra Green  (Flat)                                                                                  ,0.1455,0.1785,0.16749999999999998,3,1,22.68041237113402
SUPERNUS AZ                    ,Each     ,Supernus Arizona                                                                                     ,2300.0,2800.0,2550.0,2,1,21.73913043478261
"4"" FLANGES                     ",Each     ,                                                                                                     ,11.34,13.799,12.5695,2,2,21.684303350970012
"4"" FLANGE                      ",Each     ,                                                                                                     ,11.35,13.8,12.166666666666666,3,2,21.58590308370045
"3"" FLANGES                     ",Each     ,                                                                                                     ,8.97,10.901,9.935500000000001,2,2,21.52731326644369
SO4ZN                          ,LBS      ,Zinc Sulphate                                                                                        ,0.28,0.34,0.30303571428571424,14,3,21.428571428571423
4X3 RED BUSH                   ,Each     ,                                                                                                     ,18.039,21.9,19.9695,2,2,21.4036254781307
11R22.5 RECAP TIRE             ,Each     ,Recap Tire 11R22.5                                                                                   ,235.22,285.06,260.14,4,2,21.188674432446224
MIRROR                         ,Each     ,                                                                                                     ,21.62,26.12,23.2625,4,1,20.814061054579092
4X8 PLYWOOD                    ,Each     ,                                                                                                     ,14.97,17.99,16.48,2,1,20.173680694722762
