Batch ID,Item Number,Site ID,Trx Date,Trx Qty,Unit Cost,Reason Code
YE_CLOSE_2025,GREHMSTD250,MAIN,10/01/2025,-5.0,3.06876,YE COUNT
YE_CLOSE_2025,GREPOT250,MAIN,10/01/2025,0.6400000000000006,3.23384,YE COUNT
YE_CLOSE_2025,GRO131161900,MAIN,10/01/2025,-2.539999999999999,8.82064,YE COUNT
YE_CLOSE_2025,GRO1311619250,MAIN,10/01/2025,-1500.0,9.323,YE COUNT
YE_CLOSE_2025,GRO77902,MAIN,10/01/2025,7.5,8.48389,YE COUNT
YE_CLOSE_2025,GROCA30,MAIN,10/01/2025,-30.0,2.61867,YE COUNT
YE_CLOSE_2025,GROMZN02,MAIN,10/01/2025,11.73,10.19523,YE COUNT
YE_CLOSE_2025,GRPADEN,MAIN,10/01/2025,-30.42016,0.0,YE COUNT
YE_CLOSE_2025,GRPALGAE,MAIN,10/01/2025,-4983.667999999997,1.70174,YE COUNT
YE_CLOSE_2025,GRPASCORBIC,MAIN,10/01/2025,-195.0,12.50067,YE COUNT
YE_CLOSE_2025,GRPCHITO,MAIN,10/01/2025,-45.0,0.0,YE COUNT
YE_CLOSE_2025,GRPCULBAC,MAIN,10/01/2025,70.0,5.59129,YE COUNT
YE_CLOSE_2025,GRPFISH310,MAIN,10/01/2025,-13290.0,0.44313,YE COUNT
YE_CLOSE_2025,GRPFISHBIOAM,MAIN,10/01/2025,-25576.0,0.58667,YE COUNT
YE_CLOSE_2025,GRPFISHEM,MAIN,10/01/2025,-15912.0,0.73152,YE COUNT
YE_CLOSE_2025,GRPFOLIC,MAIN,10/01/2025,6.0,32.0,YE COUNT
YE_CLOSE_2025,GRPFULVIC,MAIN,10/01/2025,3625.4400000000005,2.69444,YE COUNT
YE_CLOSE_2025,GRPGABA,MAIN,10/01/2025,6.600000000000023,7.91858,YE COUNT
YE_CLOSE_2025,GRPHA2,MAIN,10/01/2025,-100.0,3.15,YE COUNT
YE_CLOSE_2025,GRPHUMICLIQ,MAIN,10/01/2025,9338.357000000002,0.71391,YE COUNT
YE_CLOSE_2025,GRPLISIK,MAIN,10/01/2025,57.319800000000214,3.31443,YE COUNT
YE_CLOSE_2025,GRPMERGE,MAIN,10/01/2025,-20.25,1.92584,YE COUNT
YE_CLOSE_2025,GRPSEAEX,MAIN,10/01/2025,1080.6500000000015,2.38007,YE COUNT
YE_CLOSE_2025,GRPTRAINER,MAIN,10/01/2025,-238.6600000000003,3.36231,YE COUNT
YE_CLOSE_2025,GRPTRYP,MAIN,10/01/2025,-28.97816,0.0,YE COUNT
